Source:,/home/rafael/devel/mod-hw-duo/Duo_RC1A/Duo_TopBoard_RC1A.sch
Date:,Thu 04 Sep 2014 11:49:14 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,107

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,R16,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R17,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R18,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R19,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R2,47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R20,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R21,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R22,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R23,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R24,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R25,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R26,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R27,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R28,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R29,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R3,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R30,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R31,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R32,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R33,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R34,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R35,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R36,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R37,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R38,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R39,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R4,47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R40,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R41,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R42,1M,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R43,1M,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R5,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R6,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R7,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R8,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R9,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,SW1,SW_PUSH,device:SW_PUSH,Duo_Audio_HMI_RC1A:SWITCH_SMD_FSMSM,
,,U1,LPC1754FBD80,Duo_Audio_HMI_RC1A:LPC175XFBD80,Duo_Audio_HMI_RC1A:LQFP80,
,,U2,TLV803,Duo_Audio_HMI_RC1A:TLV803,Duo_Audio_HMI_RC1A:SOT23,
,,U3,74LVC1G125,Duo_Audio_HMI_RC1A:74LVC1G125,Duo_Audio_HMI_RC1A:SOT353,
,,U4,NCP1117DT33G,Duo_Audio_HMI_RC1A:NCP1117DT33G,Duo_Audio_HMI_RC1A:DPAK(369C),
,,X1,10MHz,device:CRYSTAL,Duo_Audio_HMI_RC1A:HC_49US,



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,23,"C1, C13, C15, C2, C27, C28, C29, C30, C31, C32, C33, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C6, C8",100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
2,4,"C10, C14, C16, C9",2.2uF,device:C,Duo_Audio_HMI_RC1A:SM0603,
3,2,"C11, C17",330nF_X7R_25V,device:C,Duo_Audio_HMI_RC1A:SM0603,
4,2,"C12, C7",10uF,device:C,Duo_Audio_HMI_RC1A:SM0603,
5,2,"C3, C5",100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
6,2,"C34, C35",18pF_NP0,device:C,Duo_Audio_HMI_RC1A:SM0603,
7,2,"CN1, CN2",CONN_PANNEL_2X2,Duo_Audio_HMI_RC1A:CONN_PANNEL_2X2,Duo_Audio_HMI_RC1A:CONN_PANNEL,
8,2,"D1, D2",1N4148,device:DIODE,Duo_Audio_HMI_RC1A:SOD323,
9,2,"ENC1, ENC2",ENCODER,Duo_Audio_HMI_RC1A:ENCODER,Duo_Audio_HMI_RC1A:ENCODER_PEC11R-4xxxF-Sxxxx,
10,3,"FB1, FB2, FB3",FB_1kOHM400mA,Duo_Audio_HMI_RC1A:FERRITE_BEAD,Duo_Audio_HMI_RC1A:SM0805,
11,2,"LCD1, LCD2",ERC12864-655,Duo_Audio_HMI_RC1A:ERC12864-655,Duo_Audio_HMI_RC1A:ERC12864-655,
12,2,"LED1, LED2",LED_RGB,Duo_Audio_HMI_RC1A:LED_RGB,Duo_Audio_HMI_RC1A:LED_CLRTB_GFSF_1,
13,4,"LED3, LED4, LED5, LED6",LED_SMD_RED,device:LED,Duo_Audio_HMI_RC1A:SM0805,
14,1,P1,HEADER_180_2.54_10X2,conn:CONN_10X2,Duo_Audio_HMI_RC1A:Pin_Header_180_2.54_2x10,
15,1,P2,KK3.96_2,conn:CONN_2,Duo_Audio_HMI_RC1A:KK3.96_2PIN,
16,1,P3,HEADER_180_2.54_4X1,conn:CONN_4,Duo_Audio_HMI_RC1A:Pin_Header_180_2.54_1x4,
17,1,P4,HEADER_180_2.54_5X2,conn:CONN_5X2,Duo_Audio_HMI_RC1A:Pin_Header_180_2.54_2x5,
18,2,"Q1, Q2",MMBT3904,transistors:BC850,Duo_Audio_HMI_RC1A:SOT23,
19,19,"R1, R17, R21, R25, R26, R27, R28, R29, R3, R30, R31, R32, R34, R36, R37, R38, R39, R40, R41",10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
20,9,"R10, R11, R12, R13, R14, R15, R16, R33, R9",100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
21,11,"R18, R19, R20, R22, R23, R24, R35, R5, R6, R7, R8",1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
22,2,"R2, R4",47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
23,2,"R42, R43",1M,device:R,Duo_Audio_HMI_RC1A:SM0603,
24,1,SW1,SW_PUSH,device:SW_PUSH,Duo_Audio_HMI_RC1A:SWITCH_SMD_FSMSM,
25,1,U1,LPC1754FBD80,Duo_Audio_HMI_RC1A:LPC175XFBD80,Duo_Audio_HMI_RC1A:LQFP80,
26,1,U2,TLV803,Duo_Audio_HMI_RC1A:TLV803,Duo_Audio_HMI_RC1A:SOT23,
27,1,U3,74LVC1G125,Duo_Audio_HMI_RC1A:74LVC1G125,Duo_Audio_HMI_RC1A:SOT353,
28,1,U4,NCP1117DT33G,Duo_Audio_HMI_RC1A:NCP1117DT33G,Duo_Audio_HMI_RC1A:DPAK(369C),
29,1,X1,10MHz,device:CRYSTAL,Duo_Audio_HMI_RC1A:HC_49US,
