Source:,/home/rafael/devel/mod-hw-duo/Duo_RC1A/Duo_BottomBoard_RC1A.sch
Date:,Wed 16 Jul 2014 18:13:17 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,346

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,CAP8,470uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor8x13RM3.5,
,,CAP9,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS1,100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS10,2.2nF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS11,470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
,,CAS12,470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
,,CAS13,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS14,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS15,2.2nF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS16,2.2nF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS2,470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
,,CAS25,470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
,,CAS26,470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
,,CAS27,470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
,,CAS28,470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
,,CAS29,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS3,470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
,,CAS30,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS31,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS32,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS33,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS34,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS35,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS36,2.2nF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS37,2.2nF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS38,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS39,100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS4,2.2nF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS40,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS41,100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS42,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS43,100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS44,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS45,100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAS5,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS6,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAS7,470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
,,CAS8,470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
,,CAS9,100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CN1,CONN_PANNEL_2x2,Duo_Audio_HMI_RC1A:CONN_PANNEL_2X2,Duo_Audio_HMI_RC1A:CONN_PANNEL,
,,CN2,CONN_PANNEL_2x2,Duo_Audio_HMI_RC1A:CONN_PANNEL_2X2,Duo_Audio_HMI_RC1A:CONN_PANNEL,
,,CN3,CONN_PANNEL_2x2,Duo_Audio_HMI_RC1A:CONN_PANNEL_2X2,Duo_Audio_HMI_RC1A:CONN_PANNEL,
,,D1,BAS70-04,device:DOUBLE_SCHOTTKY,Duo_Audio_HMI_RC1A:SOT323,
,,D10,1N4447,device:DIODE,Duo_Audio_HMI_RC1A:DO-35,
,,D11,1N4007,device:DIODE,Duo_Audio_HMI_RC1A:DO-214AC(SMA),
,,D12,1N4007,device:DIODE,Duo_Audio_HMI_RC1A:DO-214AC(SMA),
,,D13,BAS70-04,device:DOUBLE_SCHOTTKY,Duo_Audio_HMI_RC1A:SOT323,
,,D14,BAS70-04,device:DOUBLE_SCHOTTKY,Duo_Audio_HMI_RC1A:SOT323,
,,D15,PRTR5V0U2X,Duo_Audio_HMI_RC1A:PRTR5V0U2X,Duo_Audio_HMI_RC1A:SOT143B,
,,D16,PRTR5V0U2X,Duo_Audio_HMI_RC1A:PRTR5V0U2X,Duo_Audio_HMI_RC1A:SOT143B,
,,D17,B130LB,device:DIODE,Duo_Audio_HMI_RC1A:DO-214AA(SMB),
,,D18,B130LB,device:DIODE,Duo_Audio_HMI_RC1A:DO-214AA(SMB),
,,D19,1N4148,device:DIODE,Duo_Audio_HMI_RC1A:SOD323,
,,D2,BAS70-04,device:DOUBLE_SCHOTTKY,Duo_Audio_HMI_RC1A:SOT323,
,,D20,MMSZ5242B,device:ZENER,Duo_Audio_HMI_RC1A:SOD123,
,,D21,MMSZ5242B,device:ZENER,Duo_Audio_HMI_RC1A:SOD123,
,,D3,1N4447,device:DIODE,Duo_Audio_HMI_RC1A:DO-35,
,,D4,1N4447,device:DIODE,Duo_Audio_HMI_RC1A:DO-35,
,,D5,1N4447,device:DIODE,Duo_Audio_HMI_RC1A:DO-35,
