Source:,/home/rafael/devel/mod-hw-duo/Duo_RC1A/Duo_BottomBoard_RC1A.sch
Date:,Wed 16 Jul 2014 18:13:17 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,346

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,R72,220R,device:R,Duo_Audio_HMI_RC1A:SM0805,
,,R73,220R,device:R,Duo_Audio_HMI_RC1A:SM0805,
,,R74,120R,device:R,Duo_Audio_HMI_RC1A:SM0805,
,,R75,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R76,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R77,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R78,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R8,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R9,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,RAD1,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,RAD3,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,RAD4,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,RAD5,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,RAD6,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,RAD7,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,RAD8,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,RAD9,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,RAS1,49.9k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS10,75k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS11,1M,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS12,75k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS13,100R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS14,3k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS15,3k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS16,49.9k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS17,49.9k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS18,24.9k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS19,100R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS2,49.9k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS20,499R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS21,100R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS22,499R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS23,49.9k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS24,499R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS25,499R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS26,499R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS27,499R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS28,100R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS29,15k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS3,24.9k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS30,15k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS31,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS32,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS33,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS34,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS35,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS36,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS37,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS38,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS39,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS4,100R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS40,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS41,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS42,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS43,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS44,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS45,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS46,10k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS47,150R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS48,150R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS49,150R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS5,100R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS50,150R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS51,100R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS52,100R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS53,100R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS54,100R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS55,75k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS56,75k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS57,75k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS58,75k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS6,1M,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS7,1M,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS8,49.9k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RAS9,1M,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
,,RT1,NTC,device:R,Duo_Audio_HMI_RC1A:SM0805,
,,SW1,SW_TACT_2PIN_SMD,device:SW_PUSH,Duo_Audio_HMI_RC1A:SWITCH_SMD_FSMSM,
,,U1,SN75176BDR,Duo_Audio_HMI_RC1A:SN75176BDR,Duo_Audio_HMI_RC1A:SOIC8_E,
,,U2,MC7805,Duo_Audio_HMI_RC1A:LINEAR_REGULATOR_DPAK_3P,Duo_Audio_HMI_RC1A:DPAK(369C),
,,U4,A20_ITEAD_CORE,Duo_Audio_HMI_RC1A:A20_ITEAD_CORE,Duo_Audio_HMI_RC1A:A20_ITEAD,
,,U5,RT9728BH,Duo_Audio_HMI_RC1A:RT9728A,Duo_Audio_HMI_RC1A:SOT23_6,
,,U6,RT9728BH,Duo_Audio_HMI_RC1A:RT9728A,Duo_Audio_HMI_RC1A:SOT23_6,
,,U7,6N137,Duo_Audio_HMI_RC1A:6N137,Duo_Audio_HMI_RC1A:SMD_8,
,,UA1,MC78M05,Duo_Audio_HMI_RC1A:LINEAR_REGULATOR_DPAK_3P,Duo_Audio_HMI_RC1A:DPAK(369C),
,,UA2,NCP1117DT33G,Duo_Audio_HMI_RC1A:NCP1117DT33G,Duo_Audio_HMI_RC1A:DPAK(369C),
,,UA3,NE5532,Duo_Audio_HMI_RC1A:AUDIO_OPAMP,Duo_Audio_HMI_RC1A:SOIC8_E,
,,UA4,LM4562,Duo_Audio_HMI_RC1A:AUDIO_OPAMP,Duo_Audio_HMI_RC1A:SOIC8_E,
,,UA5,LM4562,Duo_Audio_HMI_RC1A:AUDIO_OPAMP,Duo_Audio_HMI_RC1A:SOIC8_E,
,,UA6,LM4562,Duo_Audio_HMI_RC1A:AUDIO_OPAMP,Duo_Audio_HMI_RC1A:SOIC8_E,
,,UA7,NE5532,Duo_Audio_HMI_RC1A:AUDIO_OPAMP,Duo_Audio_HMI_RC1A:SOIC8_E,
,,UA8,LM4811,Duo_Audio_HMI_RC1A:LM4811,Duo_Audio_HMI_RC1A:MSOP10,
,,UA9,CS4245,Duo_Audio_HMI_RC1A:CS4245,Duo_Audio_HMI_RC1A:LQFP48,
,,XA1,ASV-24.576MHZ-EJ-T,Duo_Audio_HMI_RC1A:MEMS_CRYSTAL_4PIN,Duo_Audio_HMI_RC1A:SMD4_DFN,



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,16,"C1, C11, C12, C14, C15, C18, C2, C24, C25, C27, C28, C3, C8, CAP24, CAP30, CAP33",100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
2,14,"C10, C13, C16, C17, C21, C22, C23, C26, C29, C4, C5, C6, CAP10, CAP9",100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
3,3,"C19, CAP1, CAP6",100nF_MF,device:C,Duo_Audio_HMI_RC1A:CAP_FILM_12.6X4.5_L10,
4,4,"C20, CAP5, CAP7, CAP8",470uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor8x13RM3.5,
5,22,"CAP11, CAP12, CAP14, CAP15, CAP17, CAP18, CAP19, CAP20, CAP21, CAP23, CAP25, CAP26, CAP27, CAP34, CAP35, CAP36, CAS1, CAS39, CAS41, CAS43, CAS45, CAS9",100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
6,21,"CAP13, CAP16, CAP22, CAP28, CAP29, CAP31, CAS13, CAS14, CAS29, CAS30, CAS31, CAS32, CAS33, CAS34, CAS35, CAS38, CAS40, CAS42, CAS44, CAS5, CAS6",10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
7,1,CAP2,1000uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor10x21RM5,
8,2,"CAP3, CAP4",4700uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor16x25RM7.5,
9,6,"CAS10, CAS15, CAS16, CAS36, CAS37, CAS4",2.2nF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
10,10,"CAS11, CAS12, CAS2, CAS25, CAS26, CAS27, CAS28, CAS3, CAS7, CAS8",470pF_MF,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x4.5MM_P5MM,
11,3,"CN1, CN2, CN3",CONN_PANNEL_2x2,Duo_Audio_HMI_RC1A:CONN_PANNEL_2X2,Duo_Audio_HMI_RC1A:CONN_PANNEL,
12,4,"D1, D13, D14, D2",BAS70-04,device:DOUBLE_SCHOTTKY,Duo_Audio_HMI_RC1A:SOT323,
13,8,"D10, D3, D4, D5, D6, D7, D8, D9",1N4447,device:DIODE,Duo_Audio_HMI_RC1A:DO-35,
14,2,"D11, D12",1N4007,device:DIODE,Duo_Audio_HMI_RC1A:DO-214AC(SMA),
15,2,"D15, D16",PRTR5V0U2X,Duo_Audio_HMI_RC1A:PRTR5V0U2X,Duo_Audio_HMI_RC1A:SOT143B,
16,2,"D17, D18",B130LB,device:DIODE,Duo_Audio_HMI_RC1A:DO-214AA(SMB),
17,1,D19,1N4148,device:DIODE,Duo_Audio_HMI_RC1A:SOD323,
18,2,"D20, D21",MMSZ5242B,device:ZENER,Duo_Audio_HMI_RC1A:SOD123,
19,2,"F1, F2",FUSE,device:FUSE,Duo_Audio_HMI_RC1A:SM2920,
20,4,"FB1, FB2, FB3, FB4",FB_150OHM800mA,Duo_Audio_HMI_RC1A:FERRITE_BEAD,Duo_Audio_HMI_RC1A:SM0805,
21,16,"GNDA1, GNDA10, GNDA11, GNDA12, GNDA13, GNDA14, GNDA15, GNDA16, GNDA2, GNDA3, GNDA4, GNDA5, GNDA6, GNDA7, GNDA8, GNDA9",PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
22,5,"J1, J2, J3, J4, J5",JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK-NMJ6HCD2_1,
23,2,"J10, J9",MIDI_CONN,Duo_Audio_HMI_RC1A:MIDI_CONN,Duo_Audio_HMI_RC1A:CON_MIDI_161_0505_E,
24,1,J11,JACK_3P_2.5MM,Duo_Audio_HMI_RC1A:JACK_3P,Duo_Audio_HMI_RC1A:PJ-002B,
25,1,J6,USB_A,Duo_Audio_HMI_RC1A:USB_A,Duo_Audio_HMI_RC1A:USB_A_73725,
26,1,J7,MINI_USB_OTG,Duo_Audio_HMI_RC1A:MINI_USB_OTG,Duo_Audio_HMI_RC1A:USB_MINI_B_10033526_N3212LF,
27,1,J8,RJ45_CHAIN,Duo_Audio_HMI_RC1A:RJ45_CHAIN,Duo_Audio_HMI_RC1A:RJ45_10117863_5036010LF,
28,2,"K1, K2",IMC03TS,Duo_Audio_HMI_RC1A:RELAY_SPST,Duo_Audio_HMI_RC1A:IMC03TS,
29,1,L1,220uH_1.1A_290mR,Duo_Audio_HMI_RC1A:INDUCTOR_RADIAL_4P,Duo_Audio_HMI_RC1A:IND_RAD_10MM_4P,
30,2,"L2, L3",CM_NOISE_FILTER,Duo_Audio_HMI_RC1A:CM_NOISE_FILTER,Duo_Audio_HMI_RC1A:EXC14CE,
31,1,P1,HEADER_180_2.54_10X2,conn:CONN_10X2,Duo_Audio_HMI_RC1A:Pin_Header_180_2.54_2x10,
32,1,P2,KK3.96_2,conn:CONN_2,Duo_Audio_HMI_RC1A:KK3.96_2PIN,
33,13,"Q1, Q2, Q3, Q4, Q5, QA11, QA12, QA13, QA14, QA15, QA16, QA17, QA18",BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
34,10,"QA1, QA10, QA2, QA3, QA4, QA5, QA6, QA7, QA8, QA9",J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
35,2,"R1, R2",10R,device:R,Duo_Audio_HMI_RC1A:SM0805,
36,29,"R10, R11, R12, R13, R14, R15, R16, R17, R26, R3, R31, R4, R5, R6, R7, R8, R9, RAD6, RAD7, RAS13, RAS19, RAS21, RAS28, RAS4, RAS5, RAS51, RAS52, RAS53, RAS54",100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
37,1,R18,180R/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
38,6,"R19, R20, R21, R28, R30, R32",0R/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
39,5,"R24, R34, R60, R61, R62",47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
40,18,"R25, R27, R33, R44, R45, R46, R47, R48, R49, R50, R51, R52, R56, R57, R58, R59, R77, R78",1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
41,1,R29,10k/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
42,38,"R35, R36, R37, R38, R39, R40, R41, R42, R43, R53, R54, R55, R69, R70, R75, R76, RAD1, RAD3, RAD4, RAD5, RAD8, RAD9, RAS31, RAS32, RAS33, RAS34, RAS35, RAS36, RAS37, RAS38, RAS39, RAS40, RAS41, RAS42, RAS43, RAS44, RAS45, RAS46",10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
43,1,R63,100k,device:R,Duo_Audio_HMI_RC1A:SM0603,
44,1,R64,56k,device:R,Duo_Audio_HMI_RC1A:SM0603,
45,2,"R65, R66",226k_1%,device:R,Duo_Audio_HMI_RC1A:SM0603,
46,2,"R67, R68",510k,device:R,Duo_Audio_HMI_RC1A:SM0603,
47,3,"R71, R72, R73",220R,device:R,Duo_Audio_HMI_RC1A:SM0805,
48,1,R74,120R,device:R,Duo_Audio_HMI_RC1A:SM0805,
49,6,"RAS1, RAS16, RAS17, RAS2, RAS23, RAS8",49.9k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
50,6,"RAS10, RAS12, RAS55, RAS56, RAS57, RAS58",75k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
51,4,"RAS11, RAS6, RAS7, RAS9",1M,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
52,2,"RAS14, RAS15",3k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
53,2,"RAS18, RAS3",24.9k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
54,6,"RAS20, RAS22, RAS24, RAS25, RAS26, RAS27",499R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
55,2,"RAS29, RAS30",15k,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
56,4,"RAS47, RAS48, RAS49, RAS50",150R,device:R,Duo_Audio_HMI_RC1A:Resistor_PTH_6.35x2.35mm,
57,1,RT1,NTC,device:R,Duo_Audio_HMI_RC1A:SM0805,
58,1,SW1,SW_TACT_2PIN_SMD,device:SW_PUSH,Duo_Audio_HMI_RC1A:SWITCH_SMD_FSMSM,
59,1,U1,SN75176BDR,Duo_Audio_HMI_RC1A:SN75176BDR,Duo_Audio_HMI_RC1A:SOIC8_E,
60,1,U2,MC7805,Duo_Audio_HMI_RC1A:LINEAR_REGULATOR_DPAK_3P,Duo_Audio_HMI_RC1A:DPAK(369C),
61,1,U4,A20_ITEAD_CORE,Duo_Audio_HMI_RC1A:A20_ITEAD_CORE,Duo_Audio_HMI_RC1A:A20_ITEAD,
62,2,"U5, U6",RT9728BH,Duo_Audio_HMI_RC1A:RT9728A,Duo_Audio_HMI_RC1A:SOT23_6,
63,1,U7,6N137,Duo_Audio_HMI_RC1A:6N137,Duo_Audio_HMI_RC1A:SMD_8,
64,1,UA1,MC78M05,Duo_Audio_HMI_RC1A:LINEAR_REGULATOR_DPAK_3P,Duo_Audio_HMI_RC1A:DPAK(369C),
65,1,UA2,NCP1117DT33G,Duo_Audio_HMI_RC1A:NCP1117DT33G,Duo_Audio_HMI_RC1A:DPAK(369C),
66,2,"UA3, UA7",NE5532,Duo_Audio_HMI_RC1A:AUDIO_OPAMP,Duo_Audio_HMI_RC1A:SOIC8_E,
67,3,"UA4, UA5, UA6",LM4562,Duo_Audio_HMI_RC1A:AUDIO_OPAMP,Duo_Audio_HMI_RC1A:SOIC8_E,
68,1,UA8,LM4811,Duo_Audio_HMI_RC1A:LM4811,Duo_Audio_HMI_RC1A:MSOP10,
69,1,UA9,CS4245,Duo_Audio_HMI_RC1A:CS4245,Duo_Audio_HMI_RC1A:LQFP48,
70,1,XA1,ASV-24.576MHZ-EJ-T,Duo_Audio_HMI_RC1A:MEMS_CRYSTAL_4PIN,Duo_Audio_HMI_RC1A:SMD4_DFN,
