"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MPN"
"40","2","Q14, Q15","BSS84","bottom-board-rescue:Q_PMOS_GSD","Housings_SOT-23_SOT-143_TSOT-6:SOT-23","","BSS84"
"41","37","R1, R2, R3, R11, R12, R13, R14, R20, R21, R30, R31, R36, R37, R43, R46, R48, R51, R52, R53, R54, R57, R58, R64, R65, R66, R67, R68, R69, R70, RA21, RA22, RA25, RA26, RA27, RA28, RA29, RA30","10k","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","RMCF0603JT10K0"
"42","5","R5, R6, R7, R40, R41","22R","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","RMCF0603JT22R0"
"43","8","R9, R10, R55, R56, R72, R73, RA15, RA16","100R","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","RMCF0603JT100R"
"44","2","R15, R16","2k7","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","RMCF0603JT2K70"
"45","6","R22, R23, R28, R29, R34, R35","100k","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","RMCF0603JT100K"
"46","8","R24, R25, R26, R27, RA3, RA4, RA5, RA6","1M","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","RMCF0603JT1M00"
"47","1","R42","5k6","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","RMCF0603JT5K60"
"48","3","R47, R49, R50","220R","bottom-board-rescue:R_Small","Resistors_SMD:R_0805","","ERJ-P06J221V"
"49","4","R59, R60, R61, R62","56R","bottom-board-rescue:R_Small","Resistors_SMD:R_0805","","ERJ-P6WJ560V"
"50","1","R63","100R","bottom-board-rescue:R_Small","Resistors_SMD:R_0805","","ERJ-P06J101V"
"51","2","R76, R77","330R","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","RMCF0603JT330R"
"52","2","RA1, RA2","47R","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","ERA-3AEB470V"
"53","4","RA7, RA8, RA11, RA12","1k5","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","ERA-3AEB152V"
"54","2","RA9, RA10","21k","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","ERA-3AEB2102V"
"55","2","RA13, RA14","4k99","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","ERA-3AEB4991V"
"56","4","RA17, RA18, RA19, RA20","1k2","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","ERA-3AEB122V"
"57","2","RA23, RA24","15k","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","ERA-3AEB153V"
"58","2","RA31, RA33","22k","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","ERA-3AEB223V"
"59","4","RA32, RA34, RA36, RA38","33R","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","CPF0603B33RE"
"60","2","RA35, RA37","66R","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","ERA-3AEB66R5V"
"61","2","RA39, RA40","75k","bottom-board-rescue:R_Small","Resistors_SMD:R_0603","","ERA-3AEB753V"
"62","1","SW1","SW_PUSH","bottom-board-rescue:SW_PUSH","Buttons_Switches_ThroughHole:SW_Tactile_SPST_Angled","","1825027-2"
"63","1","U1","MURATA 5V","bottom-board-rescue:LM7805CT","footprints:OKI-78SR_Vertical","","OKI-78SR-5/1.5-W36-C"
"64","1","U2","NCP1117DT50G","bottom-board-rescue:NCP1117ST50T3G","SMD_Packages:DPAK-2","","NCP1117DT50G"
"65","1","U3","CS4245","bottom-board-rescue:CS4245","Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm","","CS4245-CQZ"
"66","1","U4","AT24CS08-STUM","bottom-board-rescue:AT24CS08-STUM","Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5","","AT24CS08-STUM"
"67","1","U5","Core_AW204x","itead:Core_AW204x","footprints:Socket_SODIMM_DDR3_TE_2013289","","2-2013289-1"
"68","3","U6, U7, U8","LM4562","bottom-board-rescue:OP275","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","LM4562MAX/NOPB"
"69","1","U9","LM4811","bottom-board-rescue:LM4811","Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm","","LM4811MM/NOPB"
"70","1","U10","RT9701","Power_Management:RT9701","Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5","","RT9701GB"
"71","1","U11","6N137S","bottom-board-rescue:6N136","SMD_Packages:DIP-8_SMD","","6N137S"
"72","1","U12","ISL83491","bottom-board-rescue:ISL83491","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","","ISL83491IBZ"
